Location Name,Slug,X Coordinates,Y Coordinates
Oxyrhynchos Cluster (151),oxyrhynchos,31.7119,16.21691
Ta Memnoneia  oder Hermonthis Cluster (3),ta-memnoneia--oder-hermonthis,28.89443,6.70139
Philadelphia Cluster (35),philadelphia,33.55957,8.70743
Aphrodites Kome Cluster (25),aphrodites-kome,32.31275,17.79754
Balaizeh Cluster (3),balaizeh,21.56757,1.17853
Hermopolites Cluster (86),hermopolites,32.2567,13.88999
Eleira Cluster (1),eleira,4.99361,8.19326
Unknown Cluster (7),unknown,36.37265,4.29559
Theben Cluster (70),theben,33.25425,18.94269
Arsinoites Cluster (143),arsinoites,31.76897,15.46861
Koptos Cluster (7),koptos,26.2563,5.48694
Nessana Cluster (7),nessana,34.70529,13.94558
Provenance Unknown Cluster (2),provenance-unknown,28.47,13.46429
Naboo Cluster (1),naboo,15.96177,-1.71214
Kellis Cluster (2),kellis,30.40664,18.95
Oberägypten Cluster (2),oberägypten,31.005,6.73214
Ghoran Cluster (3),ghoran,34.01551,16.04801
Dionysias Cluster (1),dionysias,36.32092,12.34342
Antiochia  bzw. Oxyrhynchos Cluster (1),antiochia--bzw.-oxyrhynchos,36.00895,9.09938
Arsinoe Cluster (1),arsinoe,24.40863,6.90039
Antinoopolis Cluster (9),antinoopolis,31.87583,16.89644
Tebtynis Cluster (97),tebtynis,31.85423,15.69079
